chq,faq,value
Is it all right to use Prozac (fluoxetine) (or other selective serotonin reuptake inhibitor) with imipramine (or other tricyclic antidepressant)?,Why did she get Coccidiomycosis?,0
"Email question from study physician: ""A question we've had difficulty finding the right answer for: What is the normal alkaline phosphatase value for a 10-year-old girl?""","In this patient with transient ischemic attacks and no murmur, should I do an echocardiogram anyway?",0
"45-year-old man, overweight, snores at night, thick neck, falling asleep in daytime, told as a child he should have adenoids out. ""Do you ever operate on folks like this without a sleep study?""",Possible sleep apnea. Do you ever operate without a sleep study?,1
What is the maximum dose of Dynacirc?,What is the maximum dose of Dynacirc?,1
Does Augmentin come in a chewable form?,Let's give these immunizations. That's right isn't it?,0
What would cause a low serum iron and iron saturation with normal total iron binding capacity (TIBC) and normal ferritin and normal complete blood count (CBC)?,What would cause a low serum iron and iron saturation with normal total iron binding capacity and normal ferritin and normal complete blood count?,1
How do you treat hemolytic uremic syndrome if you diagnose it?,How do you treat hemolytic uremic syndrome?,1
"How do you distinguish persistent pulmonary hypertension of the newborn (PPHN, persistent fetal circulation, PFC) from transient tachypnea of the newborn (TTN, TTNB)?",Can Seldane and Zithromax be used together?,0
What should you do in an obstetric patient if her RPR (rapid plasma reagent) comes back 1:8?,Why did she get Coccidiomycosis?,0
"This is probably unanswerable but I have a 72-year-old woman who 3 or 4 weeks ago had a subendocardial myocardial infarction.  She had already had some trouble with dizziness, but now she dropped her systolic blood pressure on standing (50 points) and was rehospitalized with chest pain.  ""I just wonder about this orthostatic hypotension and coronary spasm.  Then what do you do?  What other testing?  And how to treat orthostatic hypotension?""",How should I treat polymenorrhea in a 14-year-old girl?,0
"49-year-old woman with hypertension, hypokalemia, not hirsutism. I (study physician) called the endocrinologist and basically said, ""What do I do?"" I (investigator) suggested at the same time she said this, ""What was the question, was it 'What's the next step with the workup?' "" She said, ""Yes, that would be the way to phrase that.""","In a patient with possible Cushing's disease, what are the steps in the evaluation?",1
Called in order for Antabuse to pharmacist. Double checked with pharmacist on dosage and frequency.,How should I treat polymenorrhea in a 14-year-old girl?,0
"When giving measles vaccine to an adolescent, should you give just measles or MMR (measles-mumps-rubella)? If full MMR (measles-mumps-rubella), why?",Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
"What is lipoprotein A, and what are low-density lipoprotein (LDL) patterns A and B, and are they used clinically?",What is lipoprotein A and is it used clinically?,1
How do we use the paralyzing agent in this intravenous infusion?,How do we use the paralyzing agent in this intravenous infusion?,1
"Four years ago was scoped and had chondromalacia of patella. Now having difficulty again, affecting mobility. What treatments would be beneficial?",What treatments would be beneficial for chondromalacia of patella?,1
Is this abnormal? One kidney seems larger than the other on this newborn. Could this be associated with hypospadias?,Is this abnormal? One kidney seems larger than the other on this newborn.,1
Is it really Benadryl that's in Tylenol PM? I just didn't want her taking that with all her muscle relaxants.,Is it really Benadryl that's in Tylenol PM?,1
"I had a guy, 37-years-old who came in with bloody diarrhea, which changed to rectal bleeding so we admitted him. He was scoped and turned out to have Escherichia coli O157:H7. We started Cipro before the culture came back and I asked the gastroenterologist about whether we should stop the Cipro because of the increased risk of hemolytic uremic syndrome if you treat.","If a patient with Escherichia coli O157:H7 is on Cipro, should you stop the Cipro?",1
"Is there any difference among different types of estrogen in terms of adverse effects and benefits, such as vaginal atrophy, mood, and breast tenderness?",How old should a child be before they can switch from whole milk to 2% milk?,0
"A little old lady Vitamin A user. She had some skin problems 3 months ago and self-medicated with Vitamin A, 2 tablets per day which is 8000 units per day. Is that enough to give you toxicity?",Old lady Vitamin A user (8000 units/day). Is that enough to give you toxicity?,1
What dose of captopril should you use in a diabetic with microalbuminuria?,What antibiotics can he take because he's on a nevirapine study?,0
What is the treatment for and how do you diagnose a sterile abscess versus a real abscess following an immunization?,What is the treatment for and how do you diagnose a sterile abscess following an immunization?,1
"Drug representative was visiting. ""I have a patient who is still having pain on Celebrex. What is the maximum dose?""",On nonstress test after every acceleration brief sharp not deep deceleration. Important?,0
"11-year-old girl. If someone is sucking on a throat lozenge, does that affect the throat culture or the rapid streptococcal test?",Does a throat lozenge affect the rapid streptococcal test?,1
College student. Suicide attempt by taking 50 Excedrin Migraine and 50 Ibuprofen. Excedrin migraine. Does it have Tylenol in it?,Does Excedrin Migraine have Tylenol in it?,1
Ten-month-old with a buckle fracture of the proximal tibia.  What is the treatment?,Patient with bigeminy and trigeminy.  Should I treat these?,0
What are normal peak expiratory flow rates in children?,How should I treat polymenorrhea in a 14-year-old girl?,0
Can you give estrogen replacement therapy to someone with a history of deep-vein thrombosis (DVT)?,What are the causes of tinnitus?,0
How should you change the birth control pill (oral contraceptive) if someone gets amenorrhea on it?,Is this rash shingles or staphylococcal impetigo?,0
What is the dose of Trilisate?,What is the dose of Trilisate?,1
Four-week old.  What is the dose of Diflucan for tinea capitis in an infant?,What is the dose of diflucan?,1
30-year-old woman had trichomonas on Pap smear. I had to look up the dose of Flagyl for Trichomonas.,Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
Do you have to avoid the sun when you take Lipitor?,"What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)",0
What would cause brief myoclonic jerking in one leg in an infant? Would a benign myoclonus do this or should we be concerned about a seizure disorder?,She has an upper respiratory infection. Is it viral or bacterial?,0
